key,star,fork,hasdownload,hasissue,haswiki,haspage,openissue,size,testfile,docfile,srcfile,loc,comment,filedepth,filect,dirbranching,dirct
CodeSleeve--stapler,507,117,1,1,1,0,42,396,0,0,55,2737,1990,70,58,77,19
Codiad--Codiad,1813,458,1,1,1,1,92,9096,0,0,308,17886,3795,121,363,401,38
coduo--php-humanizer,1264,106,1,1,0,0,6,536,0,0,91,3160,789,107,93,117,24
commando--dogpatch,379,23,1,1,1,0,0,432,0,0,12,708,120,20,16,22,6
commerceguys--addressing,438,42,1,1,1,0,7,3076,0,0,574,47110,2105,49,575,592,17
composer--composer,8379,2335,1,1,0,0,209,7804,0,45,529,53436,13122,720,638,763,125
composer--installers,609,301,1,1,0,1,44,444,0,0,91,2726,567,23,93,100,7
composer--packagist,795,302,1,1,1,0,67,7160,0,3,148,11918,2843,348,177,246,69
composer--satis,1245,276,1,1,1,0,28,612,0,0,32,2729,1049,32,36,48,12
concrete5--concrete5-legacy,615,374,1,1,0,0,23,55916,0,0,4732,553451,97286,4598,5522,6203,681
consolidation--Robo,1401,176,1,1,1,1,40,1712,0,0,245,14575,8186,185,258,309,51
contao--core,521,244,1,1,0,0,498,19600,0,0,834,146471,42281,1378,1620,1904,284
corcel--corcel,971,147,1,1,1,0,13,1080,0,0,52,3945,984,28,52,62,10
cosenary--Instagram-PHP-API,1093,714,1,1,1,1,102,64,0,0,6,697,385,2,7,8,1
CouscousPHP--Couscous,482,56,1,1,0,1,29,1700,0,0,86,4063,664,115,104,135,31
craue--CraueFormFlowBundle,434,87,1,1,0,0,32,932,0,0,157,6296,2303,125,162,201,39
creolab--laravel-modules,409,95,1,1,1,1,37,104,0,0,17,1012,540,10,19,23,4
Crinsane--LaravelShoppingcart,1010,337,1,1,1,0,19,164,0,0,17,1488,579,20,18,26,8
croogo--croogo,765,308,1,1,1,0,135,6820,0,0,551,44228,14311,1971,803,1273,470
crowdfavorite--wp-post-formats,393,86,1,1,1,0,19,64,0,0,9,500,68,6,10,13,3
csscomb--csscomb,656,56,1,0,0,0,11,2344,0,0,35,7598,679,206,72,115,43
culttt--cribbb,416,111,1,1,1,0,1,704,0,0,88,2094,1479,145,105,150,45
cviebrock--eloquent-sluggable,1310,202,1,1,1,0,3,284,0,0,51,2179,940,25,51,60,9
cweiske--jsonmapper,464,64,1,1,1,0,0,224,0,0,29,1989,827,22,31,39,8
cydrobolt--polr,1104,133,1,1,1,1,45,4084,0,0,116,3970,768,145,138,185,47
danielmiessler--SecLists,3942,1456,1,1,1,0,23,324488,0,0,31,2266,889,121,421,453,32
danielstjules--Stringy,1683,125,1,1,1,1,12,136,0,0,6,1844,805,2,7,8,1
dannyvankooten--AltoRouter,592,135,1,1,0,1,15,20,0,0,3,210,86,0,3,3,0
dannyvankooten--PHP-Router,391,111,1,1,1,0,6,96,0,0,13,680,310,14,15,20,5
danpros--htmly,465,96,1,1,0,0,46,4500,0,0,183,32909,5114,279,259,324,65
Datawalke--Coordino,717,195,1,1,1,0,56,11888,0,0,587,139073,64797,2317,983,1364,381
datawrapper--datawrapper,796,194,1,1,1,0,101,12396,19,0,948,118662,34310,610,1151,1306,155
davedevelopment--phpmig,413,61,1,1,1,0,17,284,0,0,36,2622,1259,84,38,59,21
davejamesmiller--laravel-breadcrumbs,766,112,1,1,0,0,2,304,0,0,36,1151,271,22,52,61,9
davemo--end-to-end-with-angularjs,480,140,1,1,1,0,6,1360,0,0,52,9124,9787,100,70,100,30
davibennun--laravel-push-notification,689,151,1,1,1,0,78,64,0,0,8,271,25,19,9,15,6
davzie--laravel-bootstrap,625,192,1,1,1,0,14,1536,0,0,105,13313,1565,167,119,159,40
daylerees--scientist,589,14,1,1,1,0,4,144,0,0,24,1016,560,16,26,32,6
daylerees--test-driven-development-example,380,51,1,1,1,0,4,114328,0,0,571,44556,28718,23176,13881,17029,3148
daylightstudio--FUEL-CMS,786,369,1,1,0,0,42,14392,0,0,1070,116423,58127,1562,1354,1570,216
ddeboer--data-import,505,130,1,1,1,0,60,776,0,0,118,5964,1843,70,134,157,23
defuse--php-encryption,943,123,1,1,1,0,11,240,0,0,28,2723,769,12,30,35,5
dektrium--yii2-user,628,426,1,1,0,0,47,1204,0,0,128,9692,2969,140,128,178,50
delight-im--FreeGeoDB,1562,134,1,1,0,0,1,687140,0,0,33,1105503,61,22,46,54,8
deployphp--deployer,2929,425,1,1,0,0,111,640,0,0,98,4208,2686,65,100,121,21
