key,star,fork,hasdownload,hasissue,haswiki,haspage,openissue,size,testfile,docfile,srcfile,loc,comment,filedepth,filect,dirbranching,dirct
danielbruce--entypo,303,68,1,1,1,1,18,1812,0,0,9,3394,107,18,303,310,7
DavidWittman--ansible-redis,247,86,1,1,1,0,15,284,30,0,31,1269,99,83,44,68,24
dbmzzo--Sublime-Text-2-Icon,558,65,1,1,1,0,10,4708,0,0,3,98,24,2,56,57,1
ddollar--heroku-buildpack-multi,808,767,1,1,1,0,0,24,0,0,4,86,2,2,4,5,1
debian-pi--raspbian-ua-netinst,991,150,1,1,1,0,19,116,0,0,8,777,78,13,11,15,4
deeplearningparis--dl-machine,277,72,1,1,1,0,11,56,0,0,4,229,31,2,11,12,1
deltaxflux--fluxion,658,254,1,1,1,1,1,3924,0,0,60,14833,777,43,130,144,14
denilsonsa--prettyping,205,22,1,1,0,1,6,40,0,0,3,645,206,0,4,4,0
dennishafemann--tmux-cssh,275,45,1,1,0,0,9,24,0,0,3,322,43,0,3,3,0
denysdovhan--spaceship-zsh-theme,169,30,1,1,1,0,5,296,0,0,3,444,85,0,5,5,0
deviantony--docker-elk,1181,586,1,1,1,0,11,68,0,0,3,186,65,15,9,15,6
dflydev--git-subsplit,192,19,1,1,1,0,12,28,0,0,3,385,10,0,4,4,0
digitalocean--do_user_scripts,568,172,1,1,1,0,13,480,0,0,75,1272,253,88,85,117,32
discourse--discourse_docker,695,263,1,1,1,0,4,384,0,0,50,2753,343,44,66,83,17
djanowski--hasp,174,3,1,1,0,0,0,108,18,0,9,242,3,21,17,25,8
dmachat--angular-webpack-cookbook,265,20,1,1,1,1,6,200,0,0,43,1211,19,4,43,45,2
dmarmor--epichrome,351,21,1,1,1,0,2,62476,0,0,29,4281,1553,25,52,61,9
dnschneid--crouton,4813,632,1,1,1,0,433,1156,37,0,144,13076,2781,39,185,201,16
docker--docker-bench-security,1718,155,1,1,0,1,17,200,0,0,14,1514,184,4,22,24,2
docker--dockerlite,467,54,1,1,1,0,2,136,0,0,31,757,18,2,32,33,1
dockerfile--java,350,210,1,1,0,0,13,68,0,0,,,,14,17,24,7
dockerfile--mongodb,173,102,1,1,0,0,9,16,0,0,,,,0,3,3,0
dockerfile--redis,164,120,1,1,0,0,2,16,0,0,,,,0,3,3,0
docker-library--docs,950,577,1,1,0,0,43,6324,0,0,364,15428,14,240,719,839,120
docker-library--elasticsearch,164,182,1,1,0,0,25,220,0,0,7,134,17,40,36,52,16
docker-library--golang,269,132,1,1,0,0,8,228,0,0,4,226,8,66,35,56,21
docker-library--mongo,192,141,1,1,0,0,25,116,0,0,4,173,7,27,13,22,9
docker-library--mysql,385,460,1,1,0,0,56,100,0,0,6,513,35,8,12,16,4
docker-library--official-images,1632,582,1,1,0,0,62,2824,198,0,245,30772,5029,534,433,530,97
docker-library--php,517,348,1,1,0,0,60,648,0,0,8,477,28,66,124,145,21
docker-library--postgres,413,211,1,1,0,0,59,156,0,0,5,302,26,25,28,38,10
docker-library--python,285,133,1,1,0,0,15,260,0,0,3,171,19,85,35,64,29
docker-library--redis,194,107,1,1,0,0,18,92,0,0,5,130,10,16,16,22,6
docker-library--wordpress,277,237,1,1,0,0,36,120,0,0,4,293,20,16,14,20,6
docker--swarm-frontends,169,37,1,1,1,0,7,60,0,0,8,249,4,4,10,12,2
dokku-alt--dokku-alt,1219,109,1,1,1,1,132,5152,0,0,203,6230,202,282,285,361,76
dokku--dokku-letsencrypt,288,20,1,1,0,0,3,80,0,0,10,519,70,4,13,15,2
dokku--dokku,12557,1104,1,1,1,0,39,3460,0,0,303,15017,470,393,519,621,102
dokku--sshcommand,263,37,1,1,1,0,0,92,0,0,6,366,12,19,15,20,5
dokterdok--Continuity-Activation-Tool,1218,141,1,1,1,0,164,1688,0,0,12,4132,675,247,57,105,48
dominictarr--JSON.sh,1434,216,1,1,1,0,12,280,61,0,46,527,15,11,65,69,4
dominictarr--wifi.sh,211,9,1,1,1,0,7,80,7,0,5,255,45,5,9,11,2
donmelton--video-transcoding-scripts,540,59,1,1,1,0,0,128,0,0,5,2323,69,0,6,6,0
dotnet--core,2933,561,1,1,0,0,32,3684,0,0,189,47843,156,126,212,240,28
dotzero--vagrant-debian-jessie,199,107,1,1,0,0,1,36,0,0,3,278,35,0,6,6,0
drduh--pwd.sh,1171,107,1,1,1,0,0,20,0,0,3,192,18,0,3,3,0
DreaminginCodeZH--MaterialColdStart,1117,93,1,1,1,0,1,3492,0,0,2,79,0,12,17,23,6
driftyco--ionic2,464,85,1,0,0,0,6,16,0,0,3,37,0,0,3,3,0
driftyco--ionic-box,745,178,1,1,1,0,25,20,0,0,2,54,3,0,3,3,0
drwahl--puppet-git-hooks,172,103,1,1,1,0,13,108,0,0,15,912,133,2,18,19,1
drwetter--testssl.sh,987,150,1,1,1,0,77,18792,0,0,19,9933,1299,8,40,44,4
dsanson--termpdf,483,14,1,1,1,0,2,808,0,0,3,894,152,0,5,5,0
dsixda--Android-Kitchen,718,524,1,1,1,0,10,41896,0,0,37,5147,696,328,422,494,72
dspinellis--gi,203,12,1,1,1,0,5,92,0,2,5,941,132,2,6,7,1
dustinkirkland--byobu,248,40,1,0,1,0,0,2020,0,0,87,3124,1549,147,243,281,38
dylanaraps--neofetch,857,54,1,1,1,0,5,556,0,0,7,2760,778,7,104,107,3
dyne--Tomb,310,67,1,1,1,0,21,8164,0,29,65,9429,2016,98,145,172,27
dz0ny--lightdm-login-chromeos,208,31,1,1,1,0,31,164,0,0,10,840,142,27,25,35,10
eduardolundgren--dotfiles,401,106,1,1,1,0,13,112,0,0,11,894,130,4,18,20,2
egold--better-xcode-ibeam-cursor,427,37,1,1,1,0,1,104,0,0,2,165,31,2,9,10,1
eivind88--prm,348,19,1,1,1,0,7,76,0,0,6,534,60,4,10,12,2
ejholmes--vagrant-heroku,261,69,1,1,1,0,13,68,4,0,8,249,32,13,12,17,5
ekalinin--envirius,269,24,1,1,1,0,3,388,0,0,47,2675,253,10,78,82,4
ekalinin--github-markdown-toc,324,253,1,1,1,0,4,48,0,0,5,336,64,2,7,8,1
eklitzke--c.sh,217,13,1,1,1,0,1,16,0,0,3,134,19,0,3,3,0
elasticdog--packer-arch,184,96,1,1,1,0,4,64,0,0,8,559,42,4,10,12,2
elasticdog--transcrypt,485,25,1,1,1,0,2,104,0,0,3,871,112,17,11,17,6
elastic--elasticsearch-servicewrapper,429,174,1,1,1,0,28,6488,0,0,5,1433,193,8,35,38,3
elementary--icons,178,11,1,1,1,0,24,22572,0,0,2,42,2,198,2610,2683,73
elgalu--docker-selenium,457,76,1,1,1,1,30,2680,46,0,131,7094,1045,315,237,333,96
engineyard--vertebra,165,7,1,1,1,1,0,272,0,0,3,302,32,10,9,14,5
enginyoyen--ansible-best-practises,204,36,1,1,1,0,0,136,0,0,17,298,27,32,20,31,11
EnterpriseDB--pg_nosql_benchmark,177,32,1,1,0,0,2,100,0,0,4,588,195,4,7,9,2
ericoc--zabbix-slack-alertscript,184,56,1,1,0,0,2,20,0,0,2,81,10,0,3,3,0
erikw--tmux-powerline,2065,402,1,1,1,0,24,312,0,0,49,2099,249,10,61,66,5
Eriner--zim,547,48,1,1,1,0,15,484,0,0,40,1213,306,123,88,124,36
esden--summon-arm-toolchain,222,99,1,1,1,0,16,76,0,0,7,882,199,4,8,10,2
esnet--iperf,882,262,1,1,1,1,148,2224,0,0,64,42269,7004,21,92,100,8
eugeneware--docker-wordpress-nginx,713,340,1,1,1,0,22,28,0,0,2,78,6,0,6,6,0
eventi--noreallyjustfuckingstopalready,255,11,1,1,1,0,0,20,0,0,3,36,5,0,4,4,0
examplecode--unused-image,231,67,1,1,1,0,4,12,0,0,2,79,2,0,2,2,0
exceedhl--toft,180,18,1,1,1,1,5,544,0,0,57,2274,113,189,81,129,48
falconindy--arch-install-scripts,183,34,1,1,1,0,2,84,5,0,6,131,0,2,12,13,1
fanyueciyuan--eazy-for-ss,212,120,1,1,1,0,0,3312,32,0,76,11705,2372,22,106,117,11
fastos--tcpdive,1374,147,1,1,1,0,2,828,0,5,8,865,29,10,35,40,5
fcambus--ansiweather,1232,105,1,1,1,0,0,68,0,0,3,413,45,2,10,11,1
fedora-cloud--Fedora-Dockerfiles,297,186,1,1,1,0,31,2464,0,0,151,4793,515,368,313,422,109
felipec--git-remote-hg,236,57,1,1,1,0,31,168,8,4,7,1874,297,4,14,16,2
felixonmars--dnsmasq-china-list,1270,264,1,1,1,0,17,1300,0,0,5,129,9,0,9,9,0
felixr--docker-zsh-completion,169,24,1,1,1,0,2,76,0,0,2,73,0,2,4,5,1
felixSchl--git-fiddle,203,3,1,1,1,0,1,60,0,0,6,367,79,4,9,11,2
FezVrasta--ark-server-tools,203,65,1,1,1,0,78,232,0,0,12,3177,358,17,21,27,6
ffuenf--vagrant-boxes,261,85,1,1,0,0,2,220,0,0,23,1399,56,36,32,43,11
fgrehm--devstep,188,14,1,1,1,0,25,608,0,0,79,2657,641,166,88,128,40
fhd--init-script-template,612,191,1,1,1,0,11,16,0,0,2,130,9,0,3,3,0
fideloper--docker-nginx-php,301,147,1,1,0,0,5,36,0,0,3,22,0,4,6,8,2
fideloper--Vaprobash,1766,485,1,1,1,1,66,228,0,0,46,1374,371,4,48,50,2
firehol--blocklist-ipsets,226,51,1,1,1,1,5,110160,0,0,7,3447,0,6,1108,1111,3
firehol--firehol,368,39,1,1,1,0,70,2200,0,79,141,31063,3929,92,232,264,32
firmadyne--firmadyne,306,62,1,1,1,0,4,508,0,0,29,1882,134,29,32,44,12
fisherman--fisherman,1727,94,1,1,1,0,3,72,0,0,,,,0,3,3,0
fisherman--fishtape,201,4,1,1,0,0,5,96,13,0,,,,15,15,21,6
fish-shell--fish-shell,6700,638,1,1,1,0,571,16848,0,0,241,167495,34458,89,1188,1218,30
fizx--parsley,921,38,1,1,1,1,5,4216,148,0,119,56080,6494,4,198,200,2
flexiondotorg--oab-java6,694,154,1,1,1,0,18,68,0,0,2,795,69,0,6,6,0
Floris497--mac-pixel-clock-patch-V2,243,42,1,1,1,0,45,44,0,0,4,733,34,0,4,4,0
flynn-archive--flynn-demo,377,40,1,1,1,0,5,84,0,0,12,212,21,13,16,20,4
fnichol--dvm,480,71,1,1,1,1,10,116,0,0,4,484,0,4,20,22,2
fonnesbeck--ScipySuperpack,504,78,1,1,1,1,1,24,0,0,2,76,13,0,3,3,0
foospidy--payloads,459,150,1,1,1,0,0,112376,0,0,2,109,13,48,59,74,15
Fourdee--DietPi,285,42,1,1,0,0,68,1392,0,0,62,18931,5738,11,94,98,4
fpco--stackage,260,430,1,1,1,0,26,216,0,0,16,2977,526,9,21,25,4
fritz-smh--yi-hack,181,44,1,1,1,0,49,8564,0,0,6,529,116,17,35,40,5
fsquillace--junest,387,27,1,1,1,0,30,200,0,0,13,2196,682,12,15,20,5
ftao--vpn-deploy-playbook,768,147,1,1,1,0,34,7068,0,0,243,14011,1141,1036,361,627,266
funcoeszz--funcoeszz,201,68,1,1,1,0,20,3836,0,0,445,38424,7879,28,475,487,12
funtoo--keychain,266,51,1,1,1,0,19,144,0,0,4,1159,254,4,11,13,2
fusesource--leveldbjni,349,82,1,1,1,0,24,1844,0,0,60,37149,5759,190,68,107,39
g0tmi1k--mpc,186,49,1,1,1,0,3,64,0,0,2,754,118,0,3,3,0
g0tmi1k--os-scripts,249,134,1,1,0,0,1,620,0,0,6,6958,2722,0,6,6,0
