key,star,fork,hasdownload,hasissue,haswiki,haspage,openissue,size,testfile,docfile,srcfile,loc,comment,filedepth,filect,dirbranching,dirct
juliocesarfort--public-pentesting-reports,1063,311,1,1,1,0,1,82968,0,0,24,367,6,125,116,160,44
julycoding--The-Art-Of-Programming-By-July,8910,4423,1,1,1,0,48,26900,0,0,219,19134,1418,248,830,889,59
justinfrankel--licecap,1015,88,1,1,1,0,24,10504,0,0,415,191170,30281,123,493,527,34
juuso--keychaindump,324,95,1,1,1,0,8,28,0,0,2,392,64,0,2,2,0
jwiegley--git-scripts,747,120,1,1,1,0,1,552,0,0,95,4577,963,4,100,102,2
jyr--MNPP,330,62,1,1,1,0,20,495784,0,0,1948,504469,117546,5048,10930,11724,794
kamailio--kamailio,353,235,1,1,1,0,31,63736,249,360,5216,891238,185600,2711,6777,7521,744
karelzak--mutt-kz,341,69,1,1,1,0,42,9860,0,42,280,91571,16953,15,407,414,7
karlstav--cava,370,34,1,1,1,1,14,252,0,0,25,2382,920,18,35,42,7
karthick18--inception,506,51,1,1,1,0,4,108,0,0,6,1821,378,0,6,6,0
Kazade--kazmath,339,81,1,1,1,0,9,5004,0,0,223,51381,3507,90,249,278,29
kbranigan--cJSON,384,264,1,1,1,0,5,144,0,0,9,1530,211,2,17,18,1
keendreams--keen,1615,160,1,1,1,0,2,932,0,0,46,19555,6779,4,63,65,2
kennytm--iphone-private-frameworks,1189,534,0,1,0,0,8,11556,0,0,2460,70097,30812,95,2492,2536,44
kernelslacker--trinity,363,127,1,0,0,0,1,2856,0,0,544,31432,3971,47,554,573,19
ketoo--NoahGameFrame,603,202,1,1,1,0,2,59640,0,0,1630,495829,101347,1225,2266,2499,233
kevinlawler--kona,680,80,1,1,1,0,44,876,0,0,77,11646,1578,11,84,89,5
kgabis--parson,415,89,1,1,1,1,4,156,0,0,6,2468,153,2,13,14,1
KhronosGroup--Vulkan-Docs,808,98,1,1,1,0,90,4,0,0,,,,0,0,0,0
Kinoma--kinomajs,334,39,1,1,1,0,5,153696,0,14,3675,1193128,305133,6777,5628,6686,1058
Kitware--CMake,1094,595,1,0,0,0,2,67528,0,0,5742,542550,121988,4265,10225,11248,1023
KLab--PlaygroundOSS,448,112,1,1,1,1,26,174408,0,0,2159,654299,214459,1923,3210,3589,379
klange--nyancat,610,62,1,1,0,0,5,124,0,0,6,1557,253,4,10,12,2
klange--toaruos,1387,192,1,1,1,1,34,38716,0,0,345,56997,6547,278,502,575,73
knopwob--dunst,660,81,1,1,1,1,89,400,11,0,25,4098,321,6,44,47,3
kohler--gifsicle,841,72,1,1,1,0,7,1248,13,0,32,16800,2482,12,55,60,5
kokke--tiny-AES128-C,388,202,1,1,1,0,18,48,0,0,5,596,127,0,6,6,0
koush--Superuser,935,607,1,1,0,0,88,7344,0,0,128,95570,53952,295,251,324,73
krakjoe--phpdbg,730,54,1,1,1,0,27,824,0,0,64,16012,2015,7,76,79,3
krakjoe--pthreads,2197,370,1,1,0,1,19,820,0,0,52,6705,1616,8,146,150,4
krallin--tini,686,36,1,1,1,0,8,164,13,0,17,1184,137,23,23,32,9
kr--beanstalkd,3509,509,1,1,1,1,87,424,0,6,35,7143,471,17,52,59,7
kripken--emscripten,10877,1352,1,1,1,0,883,115448,0,0,5558,1288857,269354,2267,6989,7450,461
ktap--ktap,514,97,1,1,1,0,26,1164,41,2,70,16465,2313,86,144,174,30
lanoxx--tilda,342,86,1,1,1,0,64,1784,0,0,31,10112,1312,8,73,77,4
laruence--php7-internal,1117,108,1,1,1,0,15,120,0,0,4,477,0,4,6,8,2
laruence--yaconf,485,106,1,1,1,0,5,152,0,0,13,907,92,29,26,34,8
laruence--yac,490,147,1,1,1,0,27,284,0,0,20,3011,683,20,43,51,8
laruence--yaf,2721,1092,1,1,1,0,105,1212,0,0,82,10987,2889,77,190,209,19
laruence--yar,769,266,1,1,1,0,27,364,0,0,36,3789,854,13,58,64,6
lastpass--lastpass-cli,1421,116,1,1,1,1,28,640,0,0,70,9346,2006,13,85,90,5
lavabit--magma,622,87,1,1,0,0,27,122228,0,0,1718,268659,56500,3239,2515,3149,634
laverdet--node-fibers,2453,164,1,1,1,0,7,252,18,0,31,2962,671,9,37,41,4
ldcsaa--HP-Socket,551,372,1,1,1,1,1,213212,0,0,387,78823,20029,1220,1520,1725,205
lefcha--imapfilter,385,50,1,1,0,0,10,380,0,3,39,6679,705,6,45,48,3
leixiaohua1020--simplest_ffmpeg_mobile,689,369,1,1,1,0,40,675340,0,0,912,200247,65896,2446,2318,2854,536
LemonBoy--bar,704,126,1,1,1,0,21,64,0,0,2,1097,105,0,4,4,0
lericson--pylibmc,332,108,1,1,1,0,26,368,0,0,24,3857,727,23,42,50,8
