key,star,fork,hasdownload,hasissue,haswiki,haspage,openissue,size,testfile,docfile,srcfile,loc,comment,filedepth,filect,dirbranching,dirct
thoughtbot--factory_girl,5041,1131,1,1,1,1,20,788,0,0,135,7445,237,70,152,173,21
thoughtbot--flutie,640,34,1,1,1,0,5,116,0,0,15,215,7,14,22,28,6
thoughtbot--gitsh,1622,80,1,1,1,1,27,832,0,0,135,8206,403,76,148,174,26
thoughtbot--griddler,1071,150,1,1,0,1,12,392,0,0,48,1700,230,118,57,87,30
thoughtbot--guides,5901,931,1,1,0,0,15,412,0,0,57,2891,80,99,59,92,33
thoughtbot--high_voltage,2505,144,1,1,0,1,10,396,0,0,47,1179,18,137,63,97,34
thoughtbot--liftoff,1470,101,1,1,0,1,26,416,0,0,59,2466,31,42,77,93,16
thoughtbot--paperclip,8168,1831,1,1,1,0,102,1424,0,0,152,13603,923,92,181,208,27
thoughtbot--scenic,1108,59,1,1,0,0,4,460,0,0,60,2030,404,135,75,108,33
thoughtbot--shoulda-matchers,1829,528,1,1,1,1,124,2260,0,0,290,30651,4439,341,304,373,69
thoughtbot--shoulda,1941,201,1,1,0,0,7,72,0,0,7,201,0,13,12,17,5
thoughtbot--suspenders,2739,457,1,1,0,0,12,388,0,0,62,2397,62,38,71,84,13
thoughtworks--cruisecontrol.rb,637,226,1,1,1,0,30,25484,172,5,572,73858,8289,644,856,992,136
thuss--standalone-migrations,573,96,1,1,1,0,25,188,0,0,20,819,36,40,29,42,13
tilo--smarter_csv,597,108,1,1,1,0,30,312,0,0,33,1197,71,19,59,66,7
Tim9Liu9--TimLiu-iOS,4804,1814,1,1,1,0,2,316,0,0,4,2585,0,0,6,6,0
tj--commander,1059,75,1,1,1,1,0,256,0,0,34,1664,539,33,40,50,10
tj--terminal-table,782,90,1,1,1,0,5,136,0,0,16,1139,124,9,22,26,4
tmm1--rbtrace,1228,52,1,1,1,0,13,648,0,0,11,2004,117,14,24,30,6
tmm1--stackprof,1079,60,1,1,1,0,11,296,4,0,19,4671,366,26,24,34,10
tmuxinator--tmuxinator,5794,376,1,1,0,0,54,284,0,0,41,3310,59,31,46,57,11
tobi--clarity,715,48,1,1,1,0,6,212,8,0,27,843,58,44,35,51,16
tobi--delayed_job,2084,1092,1,1,1,1,48,120,0,0,14,742,41,19,17,24,7
tobmatth--rack-ssl-enforcer,550,86,1,1,1,0,4,116,3,0,8,1332,7,11,12,16,4
tombh--peas,620,29,1,1,1,0,8,928,0,0,112,7325,759,132,134,174,40
toolmantim--bananajour,600,26,1,1,1,0,1,1068,0,0,24,1410,90,22,34,42,8
topfunky--gruff,864,177,1,1,1,0,65,26680,536,0,60,5492,1020,58,600,618,18
toptal--chewy,994,166,1,1,1,1,57,1156,0,0,145,11746,1834,134,167,202,35
toretore--barby,559,110,1,1,1,1,6,444,25,0,54,5317,654,29,58,68,10
toy--image_optim,934,74,1,1,0,0,34,756,0,0,69,4798,365,58,99,117,18
TracksApp--tracks,807,514,1,1,1,0,235,4108,102,12,539,36325,1972,226,662,730,68
trailblazer--trailblazer,2017,83,1,1,1,1,31,436,33,3,56,3103,780,30,69,79,10
travis-ci--travis.rb,647,163,1,1,0,0,121,1216,0,0,169,9049,55,83,183,205,22
travisjeffery--timecop,2207,136,1,1,1,0,51,116,8,0,13,1254,93,7,17,20,3
treasure-data--serverengine,615,60,1,1,1,0,7,276,0,0,39,3832,470,9,44,48,4
troessner--reek,2167,140,1,1,0,0,43,2048,0,0,280,17559,3559,238,330,393,63
trogdoro--xiki,3384,202,1,1,1,1,108,4224,0,0,440,40978,7257,219,635,696,61
trulia--hologram,1921,198,1,1,1,1,45,516,0,0,71,3789,245,127,77,105,28
tryshoppe--shoppe,789,312,1,1,0,0,67,4220,90,0,240,14109,1039,381,310,399,89
ttscoff--Slogger,780,185,1,1,1,1,122,1040,0,0,73,8423,1709,43,85,98,13
tumblr--jetpants,981,67,1,1,1,0,2,20616,0,13,60,6672,1619,49,78,95,17
twbs--bootstrap-sass,11476,2867,1,1,0,1,13,1356,70,0,151,10814,2928,140,170,206,36
twcamper--sicp-kindle,714,82,1,1,1,0,1,5612,0,0,43,36557,156,6,259,262,3
tweetstream--tweetstream,1093,167,1,1,1,0,24,292,0,0,36,2302,288,15,38,44,6
twilio--twilio-ruby,909,276,1,1,1,1,25,1324,0,0,165,5666,934,188,202,248,46
twitter--activerecord-reputation-system,1323,124,1,1,1,0,25,292,0,0,37,2676,486,30,40,49,9
twitter--secureheaders,1987,123,1,1,1,0,14,352,0,0,46,3931,295,32,50,60,10
twitter--twurl,870,142,1,1,1,0,28,160,11,0,23,1438,7,9,28,32,4
tybenz--vimdeck,996,40,1,1,1,1,6,616,0,0,6,589,40,11,19,24,5
typhoeus--typhoeus,2916,330,1,1,0,0,61,556,0,0,89,4973,1306,99,93,119,26
typus--typus,1112,238,1,1,1,0,59,2948,318,33,396,9806,1277,737,454,606,152
unused--airstream,602,25,1,1,1,0,9,132,6,0,19,713,17,22,23,32,9
upmin--upmin-admin-ruby,817,78,1,1,1,0,35,3156,0,0,200,8813,1102,1187,459,711,252
urbanadventurer--WhatWeb,683,223,1,1,1,0,16,8532,0,0,1807,33697,27104,12,1821,1827,6
usablica--label.css,816,60,1,1,1,1,1,60,0,0,8,649,106,6,8,11,3
utgarda--sidekiq-status,549,90,1,1,1,0,13,332,0,0,20,1040,112,28,25,35,10
vagrant-libvirt--vagrant-libvirt,885,237,1,1,1,0,74,516,0,0,75,5780,583,43,79,93,14
vcr--vcr,3192,344,1,1,1,1,73,1196,0,0,112,10879,1338,146,170,210,40
vdaubry--github-awards,792,59,1,1,1,0,27,7404,0,0,206,36371,5140,295,243,326,83
venmo--synx,4708,223,1,1,1,0,34,2388,0,0,32,953,136,151,61,93,32
vertiginous--pik,812,124,1,1,1,0,46,736,0,0,79,5906,1007,55,104,122,18
vigetlabs--gulp-rails-pipeline,669,74,1,1,1,0,20,508,15,0,64,899,311,144,93,139,46
voltrb--volt,3313,205,1,1,0,0,71,3296,0,0,419,26641,4664,1085,507,716,209
voormedia--rails-erd,1803,204,1,1,0,1,35,1336,17,0,208,5978,405,254,236,298,62
watir--watir,738,136,1,1,1,1,34,1812,0,0,249,17168,1850,129,267,297,30
waynehoover--s3_direct_upload,581,281,1,1,1,0,103,124,0,0,14,634,15,26,17,26,9
webmachine--webmachine-ruby,787,44,1,1,1,0,14,1076,0,0,107,7484,1362,75,113,134,21
websocket-rails--websocket-rails,1615,264,1,1,1,0,197,1212,0,0,107,16622,1190,195,122,170,48
weppos--breadcrumbs_on_rails,629,145,1,1,0,0,11,132,11,0,16,682,88,19,24,31,7
weppos--whois,726,214,1,1,1,0,35,760,0,0,59,18286,829,61,75,94,19
westonplatter--phashion,552,71,1,1,1,0,13,3584,25,0,9,624,13,21,32,40,8
whomwah--rqrcode,676,110,1,1,0,1,6,428,6,0,29,1642,237,31,36,45,9
