key,star,fork,hasdownload,hasissue,haswiki,haspage,openissue,size,testfile,docfile,srcfile,loc,comment,filedepth,filect,dirbranching,dirct
frappe--erpnext,1570,877,1,1,1,1,921,159188,0,0,2653,270701,7356,3632,4348,5044,696
fraser-hemp--gradify,1410,77,1,1,1,0,17,28,0,0,3,473,47,0,3,3,0
freedomofpress--securedrop,1806,316,1,1,1,0,226,15460,0,0,206,11527,1612,681,421,558,137
fritzy--SleekXMPP,977,252,1,1,1,1,101,4704,0,0,414,29445,16927,408,469,574,105
fuchsia-mirror--fuchsia,1017,127,1,0,1,0,4,16,0,0,,,,0,3,3,0
fugue--credstash,805,79,1,1,1,0,15,100,0,0,7,911,27,2,12,13,1
fxsjy--jieba,6451,2021,1,1,1,0,221,38936,40,0,60,918595,147,18,73,80,7
gabrielfalcao--HTTPretty,1287,190,1,1,1,1,117,472,0,0,43,5287,1060,39,58,71,13
gabrielfalcao--lettuce,1038,293,1,1,1,1,90,84208,0,0,2346,229767,63386,32142,7459,10812,3353
Gallopsled--pwntools,1871,403,1,1,0,0,27,4,0,0,,,,0,0,0,0
gaubert--gmvault,1297,128,1,1,1,1,80,3520,0,0,66,9868,3547,89,115,137,22
gawel--pyquery,1053,98,1,1,0,0,41,292,0,0,21,2476,967,6,42,45,3
gbeced--pyalgotrade,937,463,1,1,1,1,17,27704,0,45,194,23854,6255,77,384,412,28
geekan--scrapy-examples,1154,509,1,1,1,0,4,57940,0,0,134,246346,915,279,246,335,89
geekcomputers--Python,1416,1333,1,1,1,0,33,212,0,0,44,1267,300,2,47,48,1
gelstudios--gitfiti,2906,243,1,1,1,0,13,72,0,0,4,445,27,2,9,10,1
geopy--geopy,1252,303,0,1,0,0,72,516,31,0,66,5567,2424,12,73,78,5
georgebrock--1pass,878,44,1,1,1,0,21,472,0,0,14,3883,40,29,29,37,8
GetBlimp--django-rest-framework-jwt,854,200,1,1,1,1,57,216,0,0,23,1514,279,23,35,43,8
getlogbook--logbook,977,124,1,1,1,0,16,1024,0,0,78,6504,1974,23,114,123,9
getnikola--nikola,1111,283,1,1,0,0,90,14264,0,0,751,128243,15733,675,1269,1409,140
getpelican--pelican-plugins,725,605,1,1,0,0,194,4292,0,0,348,15257,2322,510,485,670,185
getredash--redash,2666,494,1,1,0,1,153,3712,0,0,361,32995,1221,350,433,517,84
getsentry--raven-python,1033,634,1,1,0,0,112,1664,0,0,154,9211,1819,287,227,303,76
getsentry--responses,1349,123,1,1,0,0,46,72,0,0,5,617,37,0,10,10,0
getsentry--sentry,10833,1279,1,1,0,0,439,31172,0,0,1966,242339,15167,2521,2395,2873,478
gevent--gevent,3030,638,1,1,1,0,13,13104,0,58,482,203096,36586,145,803,843,40
giampaolo--psutil,2012,346,1,1,0,0,97,3240,0,0,92,25308,5635,54,116,132,16
git-cola--git-cola,875,239,1,1,0,0,69,4408,29,0,157,23169,2837,124,274,308,34
gitpython-developers--GitPython,1199,320,1,1,0,1,34,2084,0,11,74,11289,5890,50,153,169,16
gleitz--howdoi,4667,442,1,1,1,0,2,60,0,0,5,372,20,2,10,11,1
gmate--gmate,1046,155,0,1,0,0,31,4768,0,0,331,38752,8537,729,536,679,143
gnemoug--distribute_crawler,1833,1148,1,1,1,0,18,12980,0,0,29,1708,561,122,982,1008,26
goldsmith--Wikipedia,1191,249,1,1,1,0,55,232,0,0,15,1177,233,24,25,32,7
gongjianhui--AppleDNS,2227,322,1,1,1,0,8,64,0,0,10,1035,2,0,10,10,0
GoogleCloudPlatform--PerfKitBenchmarker,720,176,1,1,1,1,146,3608,0,0,353,32864,14158,172,425,476,51
google--enjarify,1648,304,0,1,0,0,7,2040,0,0,34,69333,807,18,40,46,6
google--google-api-python-client,1223,566,1,1,0,1,84,39888,0,0,1514,506099,5972,136,1615,1660,45
google--grr,1568,281,1,1,0,1,95,43016,0,0,1461,193251,44142,756,1691,1849,158
google--nogotofail,1946,258,0,1,0,0,25,1128,0,0,129,9773,1779,228,158,201,43
google--prettytensor,750,72,0,1,0,0,13,956,0,0,44,7142,2844,7,48,51,3
google--pyringe,1373,52,1,1,0,0,12,204,0,0,16,2348,814,8,19,22,3
google--roboto,2504,212,0,1,0,0,66,39704,0,0,103,14757,1283,79,7160,7183,23
google--sanitizers,888,117,0,1,1,1,175,540,0,0,27,2041,324,55,37,54,17
google--yapf,3893,266,1,1,1,0,62,696,0,0,48,6573,5586,9,59,63,4
gorakhargosh--watchdog,2275,306,1,1,1,1,108,644,0,0,65,5893,2685,35,87,99,12
gpjt--webgl-lessons,849,680,1,1,1,0,3,6660,0,0,30,8095,313,40,121,141,20
